PID;USUARIO;PR;NI;VIRT;RES;SHR;S;%CPU;%MEM;TEMPO+;COMANDO
1373;felipe;20;0;19100;9068;7676;S;0,0;0,1;0:00.70;systemd
1374;felipe;20;0;168784;768;0;S;0,0;0,0;0:00.00;(sd-pam)
1384;felipe;20;0;8736;5164;3396;S;0,0;0,1;0:17.63;dbus-daemon
1401;felipe;20;0;249292;5004;4412;S;0,0;0,1;0:00.61;gnome-keyring-d
1403;felipe;20;0;248768;6304;5624;S;0,0;0,1;0:00.15;gvfsd
1409;felipe;20;0;378344;5004;4832;S;0,0;0,1;0:00.00;gvfsd-fuse
1416;felipe;20;0;323140;7036;6132;S;0,0;0,1;0:00.22;gvfs-udisks2-vo
1422;felipe;20;0;244620;4684;4332;S;0,0;0,1;0:00.05;gvfs-mtp-volume
1426;felipe;20;0;244824;4776;4580;S;0,0;0,1;0:00.04;gvfs-goa-volume
1430;felipe;20;0;555148;14812;14336;S;0,0;0,2;0:00.04;goa-daemon
1437;felipe;20;0;323936;6320;6084;S;0,0;0,1;0:00.17;goa-identity-se
1443;felipe;20;0;247028;5964;5536;S;0,0;0,1;0:00.05;gvfs-gphoto2-vo
1447;felipe;20;0;325672;7028;6640;S;0,0;0,1;0:00.29;gvfs-afc-volume
1457;felipe;20;0;172940;5608;5368;S;0,0;0,1;0:00.00;gdm-x-session
1494;felipe;20;0;197012;10864;10864;S;0,0;0,1;0:00.04;gnome-session-b
1568;felipe;20;0;6040;36;0;S;0,0;0,0;0:00.03;ssh-agent
1585;felipe;20;0;305416;5408;5228;S;0,0;0,1;0:00.00;at-spi-bus-laun
1590;felipe;20;0;7380;3508;3248;S;0,0;0,0;0:00.84;dbus-daemon
1597;felipe;20;0;98876;3336;3336;S;0,0;0,0;0:00.00;gnome-session-c
1604;felipe;20;0;494168;12752;11324;S;0,0;0,2;0:00.56;gnome-session-b
1637;felipe;20;0;320092;6652;5576;S;0,0;0,1;0:00.38;ibus-daemon
1641;felipe;20;0;171876;5632;5476;S;0,0;0,1;0:00.00;ibus-memconf
1642;felipe;20;0;281004;18328;16424;S;0,0;0,2;0:00.97;ibus-extension-
1646;felipe;20;0;581172;8892;8432;S;0,0;0,1;0:00.13;gnome-shell-cal
1648;felipe;20;0;201276;17664;16164;S;0,0;0,2;0:00.11;ibus-x11
1651;felipe;20;0;245784;5928;5436;S;0,0;0,1;0:00.49;ibus-portal
1653;felipe;20;0;244656;5388;5140;S;0,0;0,1;0:00.00;xdg-permission-
1662;felipe;20;0;162916;5140;4912;S;0,0;0,1;0:02.75;at-spi2-registr
1676;felipe;20;0;1014064;14384;13032;S;0,0;0,2;0:00.08;evolution-sourc
1683;felipe;20;0;405744;7516;5952;S;0,0;0,1;0:00.40;gvfsd-trash
1696;felipe;20;0;848068;14052;13332;S;0,0;0,2;0:00.12;evolution-calen
1698;felipe;20;0;2742864;17260;14488;S;0,0;0,2;0:00.10;gjs
1712;felipe;20;0;318884;5588;5320;S;0,0;0,1;0:00.09;gsd-a11y-settin
1713;felipe;20;0;592040;18300;16484;S;0,0;0,2;0:00.30;gsd-color
1714;felipe;20;0;382844;11612;11344;S;0,0;0,1;0:00.10;gsd-datetime
1716;felipe;20;0;320956;6508;6104;S;0,0;0,1;0:00.27;gsd-housekeepin
1717;felipe;20;0;349460;18340;16372;S;0,0;0,2;0:00.23;gsd-keyboard
1723;felipe;20;0;904700;20564;18004;S;0,0;0,3;0:00.53;gsd-media-keys
1724;felipe;20;0;349664;18660;16824;S;0,0;0,2;0:00.33;gsd-power
1725;felipe;20;0;257192;8932;8316;S;0,0;0,1;0:00.10;gsd-print-notif
1726;felipe;20;0;466068;4972;4696;S;0,0;0,1;0:00.11;gsd-rfkill
1730;felipe;20;0;244476;4972;4716;S;0,0;0,1;0:00.11;gsd-screensaver
1731;felipe;20;0;473872;7908;7404;S;0,0;0,1;0:00.11;gsd-sharing
1735;felipe;20;0;398248;5740;5548;S;0,0;0,1;0:00.09;gsd-smartcard
1737;felipe;20;0;328764;8456;7896;S;0,0;0,1;0:00.10;gsd-sound
1739;felipe;20;0;394192;6428;6032;S;0,0;0,1;0:00.11;gsd-usb-protect
1742;felipe;20;0;348828;18092;16016;S;0,0;0,2;0:00.23;gsd-wacom
1744;felipe;20;0;323212;6032;5748;S;0,0;0,1;0:00.09;gsd-wwan
1752;felipe;20;0;350004;18368;16488;S;0,0;0,2;0:00.37;gsd-xsettings
